timestamp,vendor_id,product_id,device_type,duration_seconds,hour,is_weekend,label
2025-12-06 20:34:11.918648,045E,C077,External HDD,21220,20,1,0
2025-11-23 14:04:11.918648,0951,1666,External HDD,20102,14,1,0
2026-02-05 12:40:11.918648,03F0,0040,YubiKey,28402,12,0,0
2026-01-15 19:10:11.918648,17EF,C52B,YubiKey,7917,19,0,0
2025-12-26 10:38:11.918648,0951,1102,External HDD,22879,10,0,0
2025-11-25 15:39:11.918648,BEEF,0001,Bash Bunny,1,15,0,1
2026-02-04 14:32:11.918648,0781,1666,YubiKey,352,14,0,0
2025-12-13 15:33:11.918648,045E,C077,Wireless Mouse,26905,15,1,0
2026-01-02 11:06:11.918648,0781,C077,USB Flash Drive,19481,11,0,0
2026-01-11 23:05:11.918648,16C0,0001,Rubber Ducky,559,23,1,1
2025-12-29 15:29:11.918648,1050,0120,USB Flash Drive,9530,15,0,0
2026-01-05 13:19:11.918648,13FE,5567,YubiKey,3252,13,0,0
2025-11-13 10:30:11.918648,045E,3245,YubiKey,13057,10,0,0
2025-11-11 19:41:11.918648,046D,1666,Wireless Mouse,6118,19,0,0
2026-01-24 12:25:11.918648,17EF,0120,YubiKey,19766,12,1,0
2025-12-26 13:04:11.918648,05C6,607d,Rubber Ducky,1,13,0,1
2026-01-29 13:17:11.918648,0951,0120,External HDD,5258,13,0,0
2025-11-28 10:23:11.918648,045E,C52B,USB Keyboard,4876,10,0,0
2025-12-01 12:32:11.918648,0951,1666,Wireless Mouse,8836,12,0,0
2026-02-02 12:49:11.918648,045E,3245,YubiKey,19812,12,0,0
2026-01-15 20:19:11.918648,03F0,0120,USB Flash Drive,6140,20,0,0
2026-01-02 18:30:11.918648,05AC,0040,YubiKey,18497,18,0,0
2025-11-13 12:31:11.918648,046D,1102,YubiKey,572,12,0,0
2026-01-14 15:09:11.918648,BEEF,8036,Unknown HID,2287,15,0,1
2026-01-06 10:03:11.918648,0951,1102,USB Flash Drive,9975,10,0,0
2026-01-12 18:46:11.918648,046D,1666,External HDD,28731,18,0,0
2026-01-14 13:14:11.918648,BEEF,8036,Bash Bunny,1544,13,0,1
2025-12-09 13:46:11.918648,045E,C52B,USB Flash Drive,14308,13,0,0
2025-12-25 15:24:11.918648,0781,C077,USB Flash Drive,25747,15,0,0
2025-12-16 19:19:11.918648,17EF,C077,Wireless Mouse,4975,19,0,0
2026-01-16 13:49:11.918648,05AC,0120,YubiKey,11445,13,0,0
2026-01-12 11:02:11.918648,17EF,0040,Wireless Mouse,22830,11,0,0
2026-01-05 15:41:11.918648,17EF,C077,Wireless Mouse,13325,15,0,0
2025-11-12 10:29:11.918648,05AC,1102,YubiKey,22149,10,0,0
2025-11-25 22:21:11.918648,0781,1337,Unknown HID,5,22,0,1
2025-12-01 12:11:11.918648,03F0,3245,External HDD,594,12,0,0
2026-01-24 05:29:11.918648,17EF,1337,Malicious Drive,1,5,1,1
2025-11-27 20:46:11.918648,045E,0120,YubiKey,12314,20,0,0
2025-12-02 15:53:11.918648,13FE,0040,External HDD,23159,15,0,0
2026-01-11 09:11:11.918648,045E,C52B,YubiKey,28238,9,1,0
2026-01-12 09:44:11.918648,045E,1102,USB Flash Drive,14778,9,0,0
2026-02-03 17:00:11.918648,03F0,1102,USB Keyboard,3308,17,0,0
2025-12-08 11:38:11.918648,17EF,C077,USB Keyboard,24562,11,0,0
2025-12-22 11:20:11.918648,13FE,0120,Wireless Mouse,10354,11,0,0
2026-01-18 16:14:11.918648,0951,1102,USB Keyboard,27053,16,1,0
2026-01-16 17:01:11.918648,0951,1666,External HDD,26555,17,0,0
2026-01-04 16:23:11.918648,1050,1666,USB Flash Drive,3677,16,1,0
2026-01-08 13:25:11.918648,05AC,0040,YubiKey,13270,13,0,0
